subject,cohort_of,sector,is_failure_strict,is_failure_extended,distress_score,signals_fired,novelty_spike,declining_ud,chronic_ud,max_rank,mean_rank,t0_rank,own_max_raw,event_fy,reference_date,data_found,fwd_12m_excess,fwd_24m_excess,fwd_36m_excess,ref_price,ref_date,fwd_12m_return,fwd_12m_status,fwd_24m_return,fwd_24m_status,fwd_36m_return,fwd_36m_status,reason
CUBI,SI,Small-cap regional bank,0,0,10,0,0,0,0,1.0,0.81,0.75,0.064,2021,2022-04-01,True,-0.5644195176918168,-0.1768750939678,-0.30917001827202534,51.15999984741211,2022-04-01,-0.6417122756376774,ok,0.012509761367421338,ok,-0.018764642051132006,ok,
CWK,WE,Commercial real estate,0,0,10,0,0,0,0,1.0,0.88,1.0,0.091,2022,2023-04-01,True,-0.3044013726876592,-0.41580718543235934,-0.46567065530003443,10.399999618530273,2023-04-03,-0.015384601277006636,ok,-0.017307630586904033,ok,0.1788462190938443,ok,
RIVN,FSR,EV / cleantech,0,0,10,0,0,0,0,1.0,1.0,1.0,0.033,2022,2023-04-01,True,-0.5608486502079735,-0.5810340142367117,-0.6563356108949722,15.229999542236328,2023-04-03,-0.27183187879732085,ok,-0.18253445939125645,ok,-0.011818736501093437,ok,
MRK,ENDP,Specialty pharma,0,0,10,0,0,0,0,1.0,0.5,1.0,0.068,2021,2022-04-01,True,0.42012420833658026,0.47048326010910324,-0.11928112656020884,73.95767974853516,2022-04-01,0.34283145039071955,ok,0.6598681154443246,ok,0.1711242496606845,ok,
CAR,HTZ,Car rental / equipment,0,0,10,0,0,0,0,1.0,0.67,1.0,0.022,2019,2020-04-01,True,4.121494179424445,18.384471242666418,13.209474236025814,12.208878517150879,2020-04-01,4.775097315351576,ok,19.27859752785848,ok,13.95719780530087,ok,
SIVB,SIVB,Mid-cap commercial bank,1,1,5,0,0,0,0,0.75,0.75,0.75,0.051,2022,2023-04-01,False,,,,,,,,,,,,
SI,SI,Small-cap regional bank,1,1,5,0,0,0,0,0.75,0.62,0.5,0.043,2021,2022-04-01,True,-0.9118834295026103,-1.1871800045491572,-1.2880668982472083,149.6699981689453,2022-04-01,-0.9891761874484709,ok,-0.9977951492139359,ok,-0.9976615220263151,ok,
LMT,BA,Aerospace/Defense,0,0,5,0,0,0,0,0.75,0.75,0.75,0.092,2018,2019-04-01,True,0.221415180882987,-0.15940142555479958,-0.08786736393100891,252.5684356689453,2019-04-01,0.1416001075377628,ok,0.2782145106503165,ok,0.5719345771666519,ok,
ULCC,SAVE,ULCC airline,0,0,5,0,0,0,0,0.75,0.75,0.75,0.053,2023,2024-04-01,True,-0.4871648352847306,-0.7638463729045127,,7.190000057220459,2024-04-01,-0.3991654885561404,ok,-0.4784422850964912,ok,-0.2614742836549707,delisted_last_2026-05-26,
IRM,WE,Commercial real estate,0,0,5,0,0,0,0,0.75,0.62,0.75,0.042,2022,2023-04-01,True,0.27140501062971184,0.3391980503243419,0.49064390148080483,47.8371467590332,2023-04-03,0.5604217820403644,ok,0.7376976051697972,ok,1.1351607758746836,ok,
CHPT,NKLA,EV / cleantech,0,0,5,0,0,0,0,0.75,0.75,0.75,0.022,2023,2024-04-01,True,-0.7561312308682743,-1.1540854062302208,,36.400001525878906,2024-04-01,-0.6681318841396842,ok,-0.8686813184221993,ok,-0.7986263841638928,delisted_last_2026-05-26,
PFE,MNK,Specialty pharma,0,0,5,0,0,0,0,0.75,0.75,0.75,0.076,2019,2020-04-01,True,-0.3985072582445444,-0.047297897298962166,-0.21640895893967493,22.16550636291504,2020-04-01,0.25509587768258607,ok,0.8468283878931004,ok,0.531314610335382,ok,
BA,BA,Aerospace/Defense,1,1,3,0,0,0,0,0.67,0.42,0.25,0.032,2018,2019-04-01,True,-0.530143365485936,-0.7714540256268353,-1.158977485756962,382.3695068359375,2019-04-01,-0.6099584388311602,ok,-0.3338380894217192,ok,-0.4991755446593012,ok,
FITB,SIVB,Mid-cap commercial bank,0,0,3,0,0,0,0,0.67,0.54,0.5,0.031,2022,2023-04-01,True,0.16742416019498096,0.21537651094535515,0.3368781165326795,23.4481258392334,2023-04-03,0.45644093160563354,ok,0.6138760657908104,ok,0.9813949909265582,ok,
KSS,JCP,Dept store retail,0,1,3,0,0,0,0,0.67,0.54,0.67,0.096,2019,2020-04-01,True,2.870535769257241,2.897993316795965,0.2839836219171127,9.47923755645752,2020-04-01,3.5241389051843712,ok,3.7921196019880274,ok,1.0317071911921696,ok,
KSS,PIR,Home goods specialty,0,1,3,0,0,0,0,0.67,0.5,0.5,0.096,2019,2020-04-01,True,2.870535769257241,2.897993316795965,0.2839836219171127,9.47923755645752,2020-04-01,3.5241389051843712,ok,3.7921196019880274,ok,1.0317071911921696,ok,
KSS,ASNA,Specialty retail,0,1,3,0,0,0,0,0.67,0.5,0.5,0.096,2019,2020-04-01,True,2.870535769257241,2.897993316795965,0.2839836219171127,9.47923755645752,2020-04-01,3.5241389051843712,ok,3.7921196019880274,ok,1.0317071911921696,ok,
WBA,RAD,Drugstore,0,1,3,0,0,0,0,0.67,0.58,0.67,0.086,2022,2023-04-01,False,,,,,,,,,,,,
RIVN,NKLA,EV / cleantech,0,0,3,0,0,0,0,0.67,0.58,0.5,0.033,2023,2024-04-01,True,0.10947581560242718,0.06175545906511348,,11.09000015258789,2024-04-01,0.19747516233101733,ok,0.347159546873135,ok,0.2975653873155986,delisted_last_2026-05-26,
RIVN,RIDE,EV / cleantech,0,0,3,0,0,0,0,0.67,0.67,0.67,0.033,2022,2023-04-01,True,-0.5608486502079735,-0.5810340142367117,-0.6563356108949722,15.229999542236328,2023-04-03,-0.27183187879732085,ok,-0.18253445939125645,ok,-0.011818736501093437,ok,
LCID,FSR,EV / cleantech,0,1,3,0,0,0,0,0.67,0.67,0.67,0.012,2022,2023-04-01,True,-0.9269914501262257,-1.092170431263943,-1.523883966381585,79.0,2023-04-03,-0.6379746787155731,ok,-0.6936708764184879,ok,-0.8793670919877065,ok,
HSIC,SDC,Dental / consumer health,0,0,3,0,0,0,0,0.67,0.67,0.67,0.18,2022,2023-04-01,True,-0.38177008678947166,-0.5615204966612306,-0.7438692476175481,81.83000183105469,2023-04-03,-0.09275331537881906,ok,-0.16302094181577534,ok,-0.09935237322366945,ok,
URI,HTZ,Car rental / equipment,0,0,3,0,0,0,0,0.67,0.5,0.33,0.025,2019,2020-04-01,True,1.8024284430480035,1.7941414608361665,2.3191921656113754,92.556884765625,2020-04-01,2.456031578975134,ok,2.688267746028229,ok,3.0669157348864324,ok,
LUV,SAVE,ULCC airline,0,0,0,0,0,0,0,0.5,0.44,0.5,0.039,2023,2024-04-01,True,0.02038598020381538,0.08305059881881632,,27.936620712280273,2024-04-01,0.10838532693240553,ok,0.36845468662683784,ok,0.5134256649986157,delisted_last_2026-05-26,
M,SHLD,Dept store retail,0,1,0,0,0,0,0,0.5,0.39,0.5,0.04,2017,2018-04-01,True,-0.2485301430215906,-0.8446882088911094,-0.9784308380357628,20.75387954711914,2018-04-02,-0.11684411649286233,ok,-0.8033273565597311,ok,-0.3515009636054006,ok,
NMRK,WE,Commercial real estate,0,0,0,0,0,0,0,0.5,0.38,0.5,0.038,2022,2023-04-01,True,0.27107073822109756,0.36438664669990317,0.5448480515924747,6.820799827575684,2023-04-03,0.5600875096317501,ok,0.7628862015453585,ok,1.1893649259863535,ok,
CL,TUP,Household consumer,0,0,0,0,0,0,0,0.5,0.38,0.5,0.03,2022,2023-04-01,True,-0.07705464739051915,-0.09566834974011429,-0.43025293270775955,69.75714874267578,2023-04-03,0.21196212402013342,ok,0.302831205105341,ok,0.21426394168611917,ok,
WSM,EXPR,Specialty apparel retail,0,0,0,0,0,0,0,0.5,0.38,0.5,0.078,2022,2023-04-01,True,1.3678337248042622,1.308647371718733,1.5258662624568837,57.282161712646484,2023-04-03,1.6568504962149149,ok,1.7071469265641883,ok,2.1703831368507625,ok,
DVN,CHK,Energy E&P,0,0,0,0,0,0,0,0.5,0.5,0.5,0.129,2019,2020-04-01,True,2.0280597101466817,8.191015389465681,7.889961189904555,4.960666656494141,2020-04-01,2.681662846073812,ok,9.085141674657743,ok,8.637684759179612,ok,
DVN,WLL,Energy E&P,0,0,0,0,0,0,0,0.5,0.5,0.5,0.129,2019,2020-04-01,True,2.0280597101466817,8.191015389465681,7.889961189904555,4.960666656494141,2020-04-01,2.681662846073812,ok,9.085141674657743,ok,8.637684759179612,ok,
MRK,MNK,Specialty pharma,0,0,0,0,0,0,0,0.5,0.38,0.5,0.052,2019,2020-04-01,True,-0.5752958597929889,-0.6252039859398786,-0.04377457708269361,58.28384017944336,2020-04-01,0.07830727613414153,ok,0.268922299252184,ok,0.7039489921923633,ok,
PTON,PTON,D2C consumer subscription,1,1,0,0,0,0,0,0.33,0.33,0.33,0.028,2022,2023-04-01,True,-0.9235171816697776,-0.858789892072348,-1.278163334865463,11.710000038146973,2023-04-03,-0.634500410259125,ok,-0.46029033722689267,ok,-0.6336464604715842,ok,
LCID,NKLA,EV / cleantech,0,1,0,0,0,0,0,0.33,0.29,0.25,0.012,2023,2024-04-01,True,-0.2033840005885002,-0.9511383433288454,,28.600000381469727,2024-04-01,-0.11538465385991005,ok,-0.6657342555208239,ok,-0.7912587513789097,delisted_last_2026-05-26,
